Day fraction since midnight on,photometer (mg/L),(volts)
0.6291156633,6.957286835,1.150410056
0.6291272321,6.939022541,1.155301452
0.629138797,6.924848557,1.159104109
0.6291503796,6.903433323,1.164860606
0.6291619534,6.898614883,1.166157603
0.6291735291,6.917076111,1.161191821
0.6291850913,6.882790566,1.170422077
0.629196674,6.863605022,1.175602317
0.6292082523,6.850943565,1.179026842
0.6292198207,6.851603031,1.178848386
0.6292314043,6.829014778,1.184969187
0.6292429712,6.818472385,1.187830925
0.6292545436,6.797963619,1.193407655
0.6292661044,6.777027607,1.199113369
0.6292776924,6.767315865,1.201764584
0.629289272,6.749708653,1.206578255
0.6293008429,6.734825611,1.210654378
0.629312409,6.715259552,1.216023207
0.62932399,6.700548172,1.220067382
0.6293355588,6.698250294,1.220699668
0.6293471324,6.684854507,1.224388719
0.629358712,6.66559267,1.229702711
0.6293702861,6.6676898,1.229123712
0.6293818609,6.638393402,1.237225533
0.6293934272,6.614525795,1.243845224
0.6294049926,6.598929882,1.248180032
0.6294165839,6.58361578,1.252443671
0.6294281514,6.57063961,1.256062031
0.6294397205,6.554208279,1.260650992
0.6294513014,6.531325817,1.267055512
0.629462875,6.513995647,1.271916628
0.6294744565,6.495477676,1.277121067
0.6294860077,6.480000496,1.281478882
0.6294975959,6.477656364,1.282139659
0.6295091676,6.46771431,1.284943581
0.629520743,6.449915409,1.289970994
0.6295323045,6.431864739,1.295079351
0.6295438966,6.414812565,1.299914479
0.6295554565,6.396853447,1.305016518
0.6295670455,6.379050732,1.310083866
0.629578609,6.367747784,1.313306212
0.6295901935,6.34877348,1.318724513
0.6296017549,6.323706627,1.325899839
0.6296133223,6.316207886,1.328050137
0.6296248953,6.307760239,1.330474615
0.6296364823,6.448025703,1.29050529
0.6296480672,6.565068722,1.257616878
0.6296596255,6.570858002,1.256000996
0.6296712062,6.56914568,1.256478906
0.6296827791,6.541616917,1.264173269
0.6296943504,6.546657085,1.262762785
0.6297059321,6.53143549,1.267024756
0.6297175133,6.500100136,1.275820971
0.6297290646,6.492699623,1.277902722
0.6297406455,6.460968018,1.286847949
0.6297522078,6.44686985,1.290832162
0.6297637953,6.42716217,1.296411872
0.6297753742,6.427574158,1.296295166
0.6297869483,6.418916702,1.298749924
0.6297985056,6.413003922,1.300427914
0.6298100855,6.38803339,1.307525754
0.6298216689,6.368733883,1.313024879
0.6298332501,6.355217457,1.316883087
0.6298448164,6.348872662,1.318696141
0.6298563753,6.324109554,1.325784326
0.6298679621,6.306550503,1.330821991
0.6298795369,6.297751904,1.333349943
0.6298911057,6.29634428,1.333754659
0.6299026904,6.276135445,1.33957088
0.6299142457,6.26359129,1.34318769
0.6299258351,6.250176907,1.34706068
0.6299374195,6.242024422,1.349417329
0.6299489812,6.225574017,1.354179025
0.6299605389,6.222115517,1.355181217
0.6299721144,6.198449135,1.362049103
0.6299836829,6.196186543,1.362706661
0.6299952805,6.169279099,1.370538473
0.6300068648,6.152348518,1.375478149
0.6300184089,6.164896011,1.371816397
0.6300299937,6.132824898,1.38118577
0.630041561,6.128740788,1.38238132
0.630053156,6.117182255,1.385767579
0.6300647192,6.102799892,1.389986992
0.6300762882,6.090068817,1.393727541
0.6300878466,6.086760521,1.394700408
0.6300994336,6.066257954,1.400737524
0.6301110066,6.058961391,1.402889133
0.6301225803,6.066561222,1.400648117
0.6301341446,6.034277916,1.410180926
0.6301457285,6.01939106,1.414588094
0.6301573006,6.038208485,1.409018517
0.6301688689,5.993773937,1.422188759
0.6301804406,5.998996258,1.420637608
0.6301920304,5.989512444,1.423455119
0.6302035956,5.964438438,1.430918574
0.6302151762,5.949799538,1.435285449
0.6302267418,5.948438168,1.435691834
0.6302383236,5.924898624,1.442729354
0.6302498946,5.92322588,1.443230152
0.6302614624,5.918543816,1.444632292
0.6302730505,5.904234886,1.448922038
0.6302846224,5.881155968,1.455854893
0.6302961791,5.848210812,1.465781808
0.630307767,5.848835468,1.465593219
0.6303193454,5.833845615,1.470121384
0.6303309006,5.809818745,1.477394939
