Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6905048643	36.7707672119	-1.2127161026
0.6905164411	36.9901733398	-1.2149795294
0.6905280256	37.1763648987	-1.2168583870
0.6905395935	37.3046379089	-1.2181308270
0.6905511796	37.4712791443	-1.2197575569
0.6905627509	37.5111312866	-1.2201422453
0.6905743231	37.7847518921	-1.2227388620
0.6905858827	38.0738830566	-1.2253999710
0.6905974744	38.2877235413	-1.2273149490
0.6906090509	38.2378387451	-1.2268722057
0.6906206206	38.1050033569	-1.2256814241
0.6906321914	38.0790023804	-1.2254463434
0.6906437798	38.4160461426	-1.2284429073
0.6906553654	38.6797828674	-1.2307122946
0.6906669235	38.5484733582	-1.2295905352
0.6906784854	39.3222656250	-1.2359756231
0.6906900495	38.8114891052	-1.2318214178
0.6907016350	39.0011901855	-1.2333912849
0.6907131994	39.2031440735	-1.2350273132
0.6907247728	39.2875747681	-1.2357007265
0.6907363550	39.5204162598	-1.2375260592
0.6907479300	39.8354644775	-1.2399233580
0.6907594974	40.0260009766	-1.2413338423
0.6907710978	40.3428878784	-1.2436158657
0.6907826596	40.4980621338	-1.2447049618
0.6907942323	40.7253112793	-1.2462670803
0.6908058026	40.8248558044	-1.2469393015
0.6908173667	40.6410331726	-1.2456922531
0.6908289513	40.8958969116	-1.2474145889
0.6908405322	41.2155914307	-1.2495086193
0.6908520955	40.9966468811	-1.2480823994
0.6908636630	41.1382102966	-1.2490084171
0.6908752428	41.0041732788	-1.2481319904
0.6908868132	40.9826240540	-1.2479898930
0.6908983968	40.9630546570	-1.2478605509
0.6909099762	41.0340118408	-1.2483282089
0.6909215386	41.0726432800	-1.2485812902
0.6909331114	41.1778144836	-1.2492649555
0.6909446902	41.1181564331	-1.2488781214
0.6909562577	41.1928787231	-1.2493622303
0.6909678351	41.2687492371	-1.2498497963
0.6909794172	41.3566589355	-1.2504097223
0.6909909891	41.2137947083	-1.2494970560
0.6910025643	41.3422088623	-1.2503180504
0.6910141398	41.4142951965	-1.2507739067
0.6910257065	41.4912796021	-1.2512568235
0.6910372903	41.4279670715	-1.2508599758
0.6910488626	41.5570869446	-1.2516664267
0.6910604345	41.5037117004	-1.2513344288
0.6910720127	41.4374885559	-1.2509198189
0.6910835782	41.3916702271	-1.2506312132
0.6910951435	41.3967285156	-1.2506631613
0.6911067450	41.3678932190	-1.2504808903
0.6911182912	41.5669517517	-1.2517275810
0.6911298819	42.1019821167	-1.2549476624
0.6911414416	41.6914176941	-1.2524935007
0.6911530128	41.7295494080	-1.2527260780
0.6911645951	41.6117591858	-1.2520045042
0.6911761708	41.6968040466	-1.2525264025
0.6911877425	41.6853141785	-1.2524561882
0.6911993218	42.0182151794	-1.2544558048
0.6912109205	41.9451217651	-1.2540229559
0.6912224667	42.1524124146	-1.2552416325
0.6912340275	41.9592094421	-1.2541066408
0.6912456147	41.7552032471	-1.2528820038
0.6912571756	42.0083351135	-1.2543975115
0.6912687631	41.9082069397	-1.2538030148
0.6912803379	41.9433403015	-1.2540123463
0.6912919140	42.1620979309	-1.2552978992
0.6913034806	41.8816261292	-1.2536441088
0.6913150552	41.8316841125	-1.2533442974
0.6913266370	41.8974075317	-1.2537385225
0.6913382154	41.8104171753	-1.2532161474
0.6913497875	41.7279052734	-1.2527160645
0.6913613459	41.6394691467	-1.2521750927
0.6913729291	41.5912666321	-1.2518780231
0.6913845010	41.6052436829	-1.2519643307
0.6913960715	41.6029472351	-1.2519501448
0.6914076551	41.5895881653	-1.2518676519
0.6914192303	41.5530891418	-1.2516416311
0.6914307912	41.5472908020	-1.2516056299
0.6914423764	41.5315017700	-1.2515075207
0.6914539521	41.8213691711	-1.2532821894
0.6914655135	41.5619888306	-1.2516968250
0.6914771030	41.6188392639	-1.2520481348
0.6914886884	41.4361610413	-1.2509114742
0.6915002397	41.4316825867	-1.2508833408
0.6915118252	41.3480529785	-1.2503551245
0.6915234018	41.2316818237	-1.2496120930
0.6915349766	41.2558860779	-1.2497674227
0.6915465410	41.2416496277	-1.2496761084
0.6915581283	40.8408432007	-1.2470465899
0.6915696923	40.9015312195	-1.2474521399
0.6915812605	40.5415534973	-1.2450069189
0.6915928380	40.6040496826	-1.2454383373
0.6916043980	40.7891769409	-1.2466992140
0.6916159761	40.9060783386	-1.2474824190
0.6916275648	41.0780029297	-1.2486163378
0.6916391239	40.7531089783	-1.2464555502
0.6916507045	40.5088958740	-1.2447803020
0.6916622708	40.2183799744	-1.2427285910
0.6916738461	40.2624473572	-1.2430440187
0.6916854177	40.0945625305	-1.2418342829
0.6916970030	39.9235763550	-1.2405792475
0.6917085612	39.6622543335	-1.2386155128
0.6917201543	39.4928131104	-1.2373120785
0.6917317361	39.6909523010	-1.2388339043
0.6917433263	39.8481903076	-1.2400184870
0.6917548746	39.9943084717	-1.2411012650
0.6917664480	39.4663810730	-1.2371065617
0.6917780229	39.4242057800	-1.2367774248
0.6917895910	39.4061508179	-1.2366360426
0.6918011744	39.5117034912	-1.2374585867
0.6918127478	39.2371139526	-1.2352989912
0.6918243095	39.1092224121	-1.2342709303
0.6918358870	39.0994911194	-1.2341921329
0.6918474622	39.2473030090	-1.2353802919
0.6918590260	39.1759414673	-1.2348090410
0.6918706138	39.3998069763	-1.2365863323
0.6918821920	39.2137413025	-1.2351121902
0.6918937481	39.3370056152	-1.2360920906
0.6919053351	39.1039810181	-1.2342284918
0.6919169307	38.9824485779	-1.2332376242
0.6919284728	38.8124580383	-1.2318295240
0.6919400599	38.7038917542	-1.2309165001
0.6919516310	38.6662025452	-1.2305970192
0.6919632099	38.7969017029	-1.2316993475
0.6919747641	38.8502349854	-1.2321447134
0.6919863490	38.2644805908	-1.2271089554
0.6919979452	38.3619728088	-1.2279695272
0.6920094951	38.0730552673	-1.2253924608
0.6920210600	38.3343429565	-1.2277265787
0.6920326389	37.6561965942	-1.2215285301
0.6920442204	37.3106689453	-1.2181901932
0.6920557893	36.9973793030	-1.2150529623
0.6920673695	36.8496437073	-1.2135360241
0.6920789394	37.1286354065	-1.2163803577
0.6920905061	37.0865249634	-1.2159565687
0.6921020928	37.1390647888	-1.2164850235
0.6921136689	37.0503730774	-1.2155911922
0.6921252355	36.7287979126	-1.2122769356
0.6921368001	36.3057708740	-1.2077367306
0.6921483852	36.4868621826	-1.2097059488
0.6921599665	36.5292434692	-1.2101612091
0.6921715356	36.5488739014	-1.2103713751
0.6921831115	36.2647628784	-1.2072854042
0.6921946850	35.8287429810	-1.2023599148
0.6922062901	35.6437187195	-1.2001981735
0.6922178415	35.7232856750	-1.2011331320
0.6922294162	35.6760292053	-1.2005788088
0.6922409637	35.7843856812	-1.2018456459
0.6922525396	35.6906967163	-1.2007511854
0.6922641363	35.5424499512	-1.1989964247
0.6922757085	35.2598495483	-1.1955718994
0.6922872810	35.0683708191	-1.1931910515
0.6922988575	34.9545021057	-1.1917514801
0.6923104181	34.9179420471	-1.1912854910
0.6923219891	34.8152732849	-1.1899669170
0.6923335703	34.8604736328	-1.1905492544
0.6923451313	34.7856178284	-1.1895833015
0.6923567232	34.6021423340	-1.1871821880
0.6923683010	34.5119285583	-1.1859838963
0.6923798655	34.2721862793	-1.1827416420
0.6923914417	33.9144058228	-1.1777430773
0.6924030021	33.6319961548	-1.1736577749
0.6924145819	33.3036994934	-1.1687481403
0.6924261637	33.2614555359	-1.1681035757
0.6924377356	33.2706489563	-1.1682441235
0.6924493288	33.2122688293	-1.1673493385
0.6924608917	32.8105545044	-1.1610357761
0.6924724703	32.6259040833	-1.1580398083
0.6924840347	32.6325683594	-1.1581490040
0.6924956063	32.5373992920	-1.1565823555
0.6925071738	32.4626846313	-1.1553410292
0.6925187423	32.2599067688	-1.1519206762
0.6925303338	31.9654941559	-1.1468183994
0.6925419055	31.6804046631	-1.1417194605
0.6925534694	31.7028179169	-1.1421260834
0.6925650674	31.7732715607	-1.1433978081
0.6925766350	31.8104171753	-1.1440644264
0.6925882055	31.6740798950	-1.1416045427
0.6925997736	31.2820148468	-1.1343239546
0.6926113559	31.2979660034	-1.1346262693
0.6926229239	31.2740802765	-1.1341733932
0.6926345099	31.1871757507	-1.1325156689
0.6926460907	31.2376098633	-1.1334795952
0.6926576344	31.3604660034	-1.1358057261
0.6926692256	31.3762416840	-1.1361021996
0.6926807894	31.1243209839	-1.1313068867
0.6926923729	30.7994136810	-1.1249250174
0.6927039405	30.6240940094	-1.1213865280
0.6927155127	30.3404655457	-1.1155171394
0.6927270776	30.3235549927	-1.1151614189
0.6927386656	30.4408569336	-1.1176153421
0.6927502441	30.2734508514	-1.1141036749
0.6927618127	30.1895828247	-1.1123201847
0.6927733788	30.1553611755	-1.1115877628
0.6927849753	30.0843696594	-1.1100596189
0.6927965355	30.0016555786	-1.1082642078
0.6928081071	29.8676376343	-1.1053206921
0.6928196859	29.6228961945	-1.0998332500
0.6928312393	29.3400440216	-1.0933065414
0.6928428463	29.1851406097	-1.0896462202
0.6928543912	28.9600143433	-1.0842152834
0.6928659733	28.8612022400	-1.0817892551
0.6928775470	28.7513580322	-1.0790615082
0.6928891243	28.5692195892	-1.0744661093
0.6929006861	28.4277687073	-1.0708339214
0.6929122917	28.3879375458	-1.0698009729
0.6929238539	28.2797012329	-1.0669714212
0.6929354253	28.2614135742	-1.0664900541
0.6929469825	27.9549140930	-1.0582779646
0.6929585725	27.6313419342	-1.0493060350
0.6929701499	27.5122756958	-1.0459243059
0.6929817220	27.5274009705	-1.0463563204
0.6929932881	27.5412902832	-1.0467524529
0.6930048690	27.5147438049	-1.0459948778
0.6930164632	27.4249649048	-1.0434165001
0.6930280185	27.3644676208	-1.0416648388
0.6930395927	27.2436580658	-1.0381321907
0.6930511627	27.0853462219	-1.0334320068
0.6930627411	26.9482536316	-1.0292959213
0.6930743161	26.8682460785	-1.0268534422
0.6930858865	26.8808135986	-1.0272384882
0.6930974547	26.7861900330	-1.0243262053
0.6931090186	26.5511951447	-1.0169626474
0.6931205991	26.1314792633	-1.0033330917
0.6931321866	25.8969745636	-0.9954425097
0.6931437509	25.7420845032	-0.9901193380
0.6931553259	25.5955982208	-0.9850017428
0.6931669185	25.4879703522	-0.9811893702
0.6931784744	25.3183689117	-0.9750904441
0.6931900495	25.2191581726	-0.9714702964
0.6932016108	25.1662883759	-0.9695250392
0.6932132101	25.0785140991	-0.9662708044
0.6932247749	24.8844394684	-0.9589641690
0.6932363455	24.7484531403	-0.9537517428
0.6932479260	24.7558059692	-0.9540355206
0.6932594816	24.6143550873	-0.9485355616
0.6932710528	24.4259109497	-0.9410757422
0.6932826415	24.2421016693	-0.9336504936
0.6932942153	24.1201057434	-0.9286396503
0.6933057936	24.1024551392	-0.9279091358
0.6933173630	23.9497165680	-0.9215289354
0.6933289289	23.4561328888	-0.9001705647
0.6933405001	22.8516540527	-0.8724018335
0.6933520977	22.7143745422	-0.8658368587
0.6933636439	22.6761207581	-0.8639899492
0.6933752335	22.5568218231	-0.8581805825
0.6933867922	22.3223342896	-0.8465399146
0.6933983838	22.3806095123	-0.8494606614
0.6934099517	22.4695949554	-0.8538849950
0.6934215181	22.4424190521	-0.8525384068
0.6934330961	22.4617996216	-0.8534991741
0.6934446652	22.3670005798	-0.8487802148
0.6934562436	22.3586711884	-0.8483632207
0.6934678505	22.3134937286	-0.8460952044
0.6934794040	22.2012863159	-0.8404134512
